id,objectid,highstreet,highstre_1,area_ha,gdb_geomat,test_IMD_decile,test_IMD_rank,test_income_decile,test_income_rank,test_employment_decile,test_employment_rank,test_education_decile,test_health_decile,test_crime_decile,test_environment_decile
54,54,54,"Stanley Road, Fulwell.",6.22315419951215,,9.00036907959811,27335.5063152698,8.01216434655728,23306.325975318,8.02523103752491,25493.7970428615,9.98782744012862,9.02492910747783,6.99484106667559,4.95370873272702
57,57,57,"Bounds Green Road, Bounds Green",6.35048536040565,,4.87317163444483,14389.4828764679,5.31084026365176,15389.8923001217,5.80142161799943,17656.6318887696,7.55046653339251,7.54289167596542,3.36992089530729,1.84714022847078
58,57,57,"Bounds Green Road, Bounds Green",6.35048536040565,,4.73890950072757,13953.9381300764,5.3478695697437,15468.9763215035,5.70763799428786,17324.6131966116,7.38520505628041,7.51366208626788,3.25382571819878,1.53252454309108
59,58,58,"Kingston Road, Wimbledon Chase.",6.54273428719781,,9.3272133015314,28167.5436302616,8.65941179002721,26970.3491958877,9.05281176775165,28154.0770796019,9.68100464758876,9.33917263312962,8.72705499242468,3.13459237185011
60,59,59,"Kingston Road (Westbury Road, Sandal Road), New Malden.",7.06549732866055,,6.07687738664576,17616.465822652,4.13049943383821,12811.0401344264,5.13826284134479,14741.7738788682,8.98257991068846,8.04474708810488,6.04473607027074,2.10992571140137
61,60,60,"High Road, Bruce Grove, White Hart Lane, Tottenham",69.0710726318276,,1.53297526377477,3573.18277851038,1.67357183788342,3345.34316316141,2.02701923980029,5404.51153146124,2.8507157985976,4.19862166653546,1.2034172492089,2.67271710460437
62,61,61,"High Street, Wimbledon.",11.0096029446756,,9.80213260235725,30917.2041947009,9.75787434723557,30624.5749621251,9.86228081598665,31848.6958491111,9.96726091751488,9.84584452399642,7.09810231331316,4.70852590165878
64,63,63,"Green Lanes, Palmers Green.",21.4878962617497,,5.90028687989407,16655.9245124721,4.9979985371309,14078.0317938186,6.78432105015268,20139.6621924663,7.9800623739801,8.61580039640967,4.96389343697175,2.40096121488158
65,64,64,"Streatham Road, Mitcham Lane (Southcroft Road), Furzedown",5.21149740279595,,5.0897289421799,16036.0233211592,4.15567466474881,11148.1821375754,6.05667845281984,16920.8454401541,7.01688921045189,7.92661783109633,5.80222914839395,2.9786454522831
68,67,67,"London Road, Romford.",118.453868863613,,4.09383317317621,12336.0776808288,4.07161607884094,12252.3502918669,5.34707191156197,16342.9213711877,4.95392220516886,5.7519048991462,2.48457114323068,3.41711367075636
69,68,68,"Kingston Road (California Road, Dunbar Road), New Malden.",9.66187038200922,,5.48238285436284,16886.8277596365,4.86083449611207,14304.7747369986,5.84559207204567,17129.8782898238,7.07040344448702,7.07714308470765,6.27589167687877,4.43981901869676
70,69,69,"Sheen Road, Richmond.",5.59228580824511,,8.97643923711952,27626.5372271528,8.88495164108752,26839.8780943959,9.69512217275882,30043.9648295853,9.97023441705958,9.92474206196926,4.61713804195197,3.033154554825
72,71,71,"Eastern Avenue, Newbury Park.",24.7280053423597,,5.18590821949702,15574.3262720332,4.92896845171309,15044.41637222,7.82964461474984,22764.9221963369,7.87771217304181,5.72665872451001,5.0094089978067,1.487275933646
75,74,74,"Station Road, Winchmore Hill.",7.70657209186345,,7.97276109527231,23979.0974132325,7.00373298659479,20626.6133866479,7.03909291611671,22896.1487808035,8.03028837567126,9.95867892340968,6.99166997975661,4.99727740805923
85,84,84,"Pied Heath Road, Hillingdon.",5.82296467688485,,4.9523386757855,14600.1720923341,5.04589736433659,14702.4522279073,5.37774721567807,16127.6476769835,5.06822711896425,5.73358975554039,3.57994561850829,5.53236622059275
90,89,89,"Green Lanes (Compton Road), Winchmore Hill",13.7442201098268,,7.8725196963483,23814.5680896284,6.90699421296066,21035.4108660088,7.90463156109589,24163.2819785179,9.82663425380575,8.04066347300721,5.99281019999887,4.97109694427683
91,90,90,"Fulwell, Hampton",12.8982508125148,,8.4866445545656,26004.1791210718,7.75989030995186,23517.105722578,7.91520328528023,24386.6748053961,9.41783015988021,9.06292575654324,6.00776674620659,4.24138830978164
93,92,92,"Strawberry Hill, Twickenham",0.817005561150765,,9.18311025450222,28432.0179598217,8.64082054659897,26509.8485182745,8.92379742507264,27421.7316350866,9.8014183649607,9.68095392607283,6.12055690807758,4.07191269737265
94,93,93,Topsfield Parade.,5.13180771844332,,4.12272446711475,13008.1821487386,3.41242688597313,10620.186828676,4.84307565824345,15045.9223105052,8.50586044948126,5.32927516802927,3.84805327955499,3.09280899680337
95,94,94,"St Margaret’s Road, St Margarets.",9.19462167928396,,9.7412543652116,29667.1319799526,9.72866615301954,30211.1085409581,9.79162591185976,31073.5915071358,9.88924621404307,9.85999116633234,5.74244049942383,3.02529561110119
96,95,95,"Coombe Lane + Kingston Road, Raynes Park.",19.0537958052953,,8.25246419260963,25117.7402837016,7.45735892925171,21912.3437711767,8.45392076244661,26046.3348846537,9.97643124270273,8.85532328114998,7.36043964538927,2.85684697738785
97,96,96,"High Street, Hornsey.",8.42445840293905,,4.06148899544565,11963.6633491964,3.82168847260313,10992.99395187,4.9367353341564,14674.5956073288,7.43578640342109,5.32182267377375,3.67845669147819,2.82116794332623
100,99,99,"Bridge Road, Wembley Park.",12.74966190547,,2.12575228704045,6884.24352595591,2.12369901111508,5465.79365111167,2.19615050233133,7085.9306717663,6.03168818572009,4.20338989422052,3.99195443492599,4.94447425172981
102,101,101,"Snakes Lane, Woodford.",17.0873123830818,,4.39555961764364,13395.2036461907,3.42319837270377,10792.0422932635,4.3951134218077,11677.5491051553,5.384558323521,6.29650557381315,3.98407655535531,5.85725013904665
103,102,102,"Bath Road, Hounslow West.",9.35091824702224,,4.4878870440876,13487.5684340693,4.62892481023983,13498.5337703574,5.99161418037294,18025.8658124903,7.09563074394491,6.79880412023764,3.37889859938005,3.32018121849089
104,103,103,"High Road, Seven Kings.",129.007808786265,,4.08886292568417,12564.8925947039,3.95924331532143,10834.867967858,5.05106527365085,14395.207699597,5.87707960806455,6.15869923450789,3.42022558006458,3.93033770782501
105,104,104,"St John’s Road, Uxbridge.",5.67810940194485,,5.13437921595937,15052.3370393782,3.56664526692767,11058.9168704724,5.39671240060884,15401.3217921395,5.40938335364453,6.77805385338685,7.92239397325278,5.65359689857375
106,105,105,"Vicarage Farn Road, Heston.",6.20373225512175,,4.28713114967088,11734.8895106056,3.55685487048415,10607.2197247847,4.72786517914526,14678.5376410786,6.33501147606504,7.01780162160874,2.60059171444253,3.23537651866563
107,106,106,"South Road, Isleworth.",6.28398039015764,,5.05530855718449,13843.6932824835,4.10863481142284,11384.6690208449,4.12961647302248,13474.0769951485,7.97793575802417,6.06134947129052,3.08532971462493,3.9972921492757
108,107,107,"High Street, Whitton.",10.9778488495802,,8.29386589482586,25474.2286604844,7.59610210314136,23769.2628256533,8.34176177332999,25578.923243292,9.35126886533164,9.41104177689112,5.02607956628362,3.84767308300751
109,108,108,"Chase Cross Road, Collier Road.",14.8562282545034,,5.03662338528543,15882.2931022736,4.06382198784014,12510.7711741595,5.04868662155753,16379.2302557207,3.0179003450125,7.96912927340397,4.0636744870101,5.9993111132719
110,109,109,"Kingsley Road + Spring Grove Road, Hounslow.",11.9898938030867,,5.12830695451263,15098.0902226473,5.42501368452623,16066.5484981053,6.75225085530613,20737.0512255032,7.99505078456801,7.28314025884856,3.15258080047282,3.04945168278744
111,110,110,"Cartlton Drive, Barkingside",9.82404537249556,,5.85821539705556,17588.4383784377,4.9547079413405,14913.0088591498,6.17323434665431,18513.875299703,6.70970363135758,8.08916037932758,4.28047839813329,4.44811588640439
112,111,111,"Forest Road, Fairlop",3.08146459944053,,5.63656811225529,17162.7759077967,4.95889261281008,14767.0759571464,5.92123568719009,17693.712142323,5.82045342874161,7.7811631655515,4.31002611974602,4.516504948331
113,112,112,"New North Road, Hainault",2.69231698378498,,5.29750737959893,15552.5734866296,4.77193869007633,14038.5649956142,5.64611001857119,16406.5471136269,5.12366085376921,7.38520374268013,4.06625540364804,4.99082777021865
114,113,113,"Manor Road, Grange Hill",4.3110168439895,,4.68741925318275,13813.8136877549,4.30130702771858,12238.8225734599,4.66532860139584,13811.8671486029,4.41504259539176,7.30736366300543,3.76327101518862,5.35957431609574
115,114,114,"Lancaster Road & Baker Street & Chase Side, Enfield.",54.3005935431943,,6.68239359850122,19770.2419013574,5.07295325749118,15811.2388287353,6.68563632613232,19577.1348185196,7.85661068683615,8.75735680078109,6.14812674570358,3.58123079506049
116,115,115,"London Road + St John’s Road, Isleworth.",9.785529751131,,5.82839843009586,17643.8338794386,5.9531410740995,18240.5588421856,6.89542529810177,21443.755004089,8.50493283592954,7.00821930182313,3.66703867925883,3.05377907638846
117,116,116,"Windmill Hill, Enfield.",7.9551104666276,,6.61170917874658,19471.0801033763,5.82309869726223,17387.7880702929,6.30584973827282,19690.7730871464,7.96180949125447,8.51667191032719,7.41568359878563,5.31698724961914
118,117,117,"Ordnance Road, Enfield Lock",11.5015467794611,,2.57409567998375,6801.27440283183,1.90055365684944,4842.99523020829,3.04711507945234,8160.48919430756,3.29137682663386,6.42284321567228,4.61806240476412,3.89790265088713
119,118,118,"Heston Road, Heston.",7.35731709069687,,4.42106518526114,12336.9402543804,3.87931086994765,11319.6771215071,4.98437886407295,15301.8361271902,6.5564741589983,6.85497592453068,3.17217342137616,3.43227941378022
120,119,119,"Thurston Road, Southall.",3.97159571638893,,3.1052836126575,9338.22964365217,3.10091913932118,9614.96251544261,4.06778989070926,11524.9445731401,5.00120457625638,2.33120536249945,4.07888356623767,3.99063688407671
121,120,120,"South Street, Ponders End",7.35826229021542,,1.56711777173044,4129.09525987319,1.49261767147481,3389.93961936239,1.81594769079301,5062.07030723727,2.45333710271249,4.4847017210568,3.0702122621489,1.68856926795313
122,121,121,"Vera Avenue, The Grangeway, Grange Park",3.55474074115533,,7.61252963656535,23688.4308938045,7.40880064690716,22002.8940709972,8.17781381144499,25224.2361671026,8.94020714915975,9.51430055841574,7.21551319866529,4.89001830637515
123,121,121,"Vera Avenue, The Grangeway, Grange Park",3.55474074115533,,7.98482093498459,25529.7548313929,7.97561869699739,23081.1038349442,8.96478568658165,27344.5412068009,9.95264080786292,9.97809208804684,7.96783933940315,4.04039402713918
124,122,122,"Lady Margaret Road, Greenford.",8.98913135955513,,2.13545779713824,6685.33449067152,2.11231701449284,6803.67397946362,4.018821639169,10539.0613896374,5.03459876004864,3.21982352725812,1.22436599496276,4.00635650633357
125,123,123,"Cannon Hill, Southgate",6.7894319061489,,7.96398661207815,25587.0963427666,7.90231806668177,23264.0902576181,8.9044216052177,27762.3070510119,9.92515333546425,9.93851974742503,6.93490094431215,4.92855529020426
126,124,124,"Bittacy Hill, Dollis Road, Mill Hill East",15.1970515867043,,6.60936734544796,19966.3929677618,5.78840020295849,17361.2085895366,6.66096068682715,20654.5836495872,8.22765834044549,9.10255898671613,5.5720555738921,4.86266212261028
127,124,124,"Bittacy Hill, Dollis Road, Mill Hill East",15.1970515867043,,6.32000447132746,18799.0161836519,5.35651609035744,16356.7112223623,6.05780742190862,19169.3912087077,7.93167148748471,8.71075091934341,4.86566245064192,4.56051355450489
128,125,125,"Yeading Lane & Church Road, Yeading.",7.02295907570476,,2.42592163358021,7213.93914800576,2.9768527241893,7269.1390980351,3.84117250416962,10043.4607832049,4.2050241775437,5.22967075149776,2.2976626339797,4.10813620473253
129,126,126,"Masons Hills, Bromley.",6.40409282103778,,8.001898351384,23837.5015733494,7.0241944425383,21901.4689010436,8.00986169969633,23733.336438467,8.99950971931305,8.04802581076431,6.99938334073143,4.99719598938959
130,127,127,"Kingshill Avenue, Hillingdon.",4.89442924476884,,5.55294830051179,16567.6141768438,5.30923279925444,15177.5412068898,5.77315199032247,16820.3282354236,5.39022983600845,6.99066453723512,4.44018993484621,4.04596923886076
133,130,130,"Anerley Road, Anerley.",6.39493123373178,,3.23620893371261,9337.66172500518,2.93362909066792,8246.80261399713,3.33599395147374,9346.6676783142,5.68757416679226,4.8781923964175,2.83044461703425,4.16481620545435
137,134,134,"Penge Road, Norwood.",5.28779870792454,,3.06663682346082,8173.04317977742,3.03000390618143,8877.0148561917,3.99829578665732,10347.3669210522,4.14275026480999,5.05924829280274,3.96486488113564,2.10584393204075
139,136,136,"Limpsfield Road, Warlingham",6.87692374165227,,6.98271281609179,21429.2766133052,6.97320972871237,19730.0678406728,6.03864872748056,19560.6630007355,6.03575269242263,6.01498080149192,6.06023223640903,6.9732144006832
140,137,137,"Selsdon Park Road, Addington.",7.8813786789061,,5.17109794982602,15644.6408155475,5.08140020122887,15423.5228415039,5.48331309264747,16679.2996066757,5.19235719945359,5.93478036850381,4.63947857424672,6.60050697767711
141,138,138,"Chatterton Road, Bromley.",12.7883579899926,,7.82282149584143,25485.421665745,7.64436894772474,22578.6400270629,8.00054305879472,24127.5657348015,8.18234719963286,9.80098258648093,6.48153808810388,3.86120434455388
145,142,142,"Western Avenue (Park Royal), Ealing",5.65549773685592,,5.01489984050255,14616.6106340308,5.04743193721901,15058.0685673961,7.04505141143583,21385.3691569965,7.27551095785526,7.98305793253189,4.23192112093566,2.11867028418914
146,143,143,"Plaistow Lane, Sundridge Park.",7.78842991254502,,6.06800572272048,18241.4658388903,5.64631918488074,16884.041290573,5.82473979667243,17901.8912260139,7.90489109314512,7.4646455757606,4.37003911499681,4.48994765448385
147,144,144,"Dudden Hill Lane, Dollis Hill",4.311626600793,,3.41584379563926,9636.74391684925,3.3674482404709,9485.10459024573,4.4387747483444,13282.0786677769,5.60312032367852,6.68156734442523,3.01316701327258,2.67130151700437
150,147,147,"Bromley Road, Shortlands.",7.40580057991577,,7.56653070949418,22921.1817362635,6.86884044147313,21169.3712478916,7.76303789838675,23824.9950932869,8.8697119625926,8.93063763319233,6.01844451094394,5.05762481394794
154,151,151,"Station Approach, Hayes.",6.63193646878204,,9.43896561822614,29398.56443398,9.50866593434376,29928.0478049216,9.4160077182858,29140.2685241854,8.98946977860776,9.84105404203883,6.73018100781684,6.34681526309362
157,154,154,"Freemasons Road, Custom House.",4.99720714804004,,2.70421328976464,7637.85983428676,3.65931761654351,10581.703245135,4.53861616809009,13679.1641687926,5.30786443618202,3.74314394309272,2.87451752122119,3.4066820196651
160,157,157,"Links Way, Eden Park.",8.96972459341296,,8.28060115336876,25512.2763803952,8.21940384600211,25740.0977082305,8.71068270961655,26383.7668864033,8.32268054563868,9.24512211415162,6.78413085652839,5.55478748184895
163,160,160,"High Street, Green Street.",14.0896616672877,,8.93598915306239,28241.043440829,7.57653827018594,23907.5233443551,8.85998573742144,26931.2826072591,8.8837528603195,9.30428472363783,8.54733474716097,6.64766492348404
164,161,161,"Queensway & Station Square, Petts Wood.",14.2219865594464,,8.982434325979,28204.1367286044,8.85690072144064,27836.6431557156,8.9658420906732,27754.2508584693,8.79621015818265,9.67938240964346,7.22223747979667,6.73759943020848
165,162,162,"Hertford Road (Sutherland Road), Edmonton",5.39493158094601,,2.47702227479454,6718.94202911786,2.19011215065841,5831.75106899908,3.25266110211078,8499.34696255782,3.27742355258757,6.46463541509239,3.49831893805964,2.8164396743242
167,164,164,"Uxbridge Road, Harrow.",16.3584610630958,,7.89398124562098,23646.7795989352,6.26340356338933,19664.671535222,7.23173902940828,23225.5516656657,8.91328285343626,8.31732863842997,8.45963331607662,6.09150935513257
169,166,166,"Whitchurch Lane, Stanmore Marsh, Canons Park",18.8290638611519,,6.0734647192394,17905.2228259561,5.07426118849374,14017.6377368168,5.21810660730103,15659.5326328926,8.94777353366477,9.96210377184705,6.96468008048232,5.95291198348901
171,167,167,"Blackfen Road, Bexley.",12.4994763886196,,8.00940266352561,24177.1759723449,7.69748502877864,23161.7546042265,8.12157341844379,25451.0799554787,4.96901745384832,8.66409327177269,7.18185709493333,5.02874609075713
172,168,168,"Headstone Lane, Harrow",5.84469990516691,,4.18057634712422,12743.1075265921,3.61386813996767,10086.641020524,4.19797217188081,11791.2043307518,5.42799529686427,6.72586546759142,5.3352933568753,4.85352589145833
173,168,168,"Headstone Lane, Harrow",5.84469990516691,,4.56276299534381,13943.632051213,3.87373077892803,11016.2000575453,4.57032781621803,13179.2976986467,5.90205042426618,7.09789560204703,5.37439109209969,4.94951290787823
174,169,169,"Windermere Avenue, South Kenton",2.42787483883957,,6.69194438449112,20158.9076702002,6.09364414030323,18396.3944865511,8.03686006460713,24487.2602664989,7.94253556231004,8.81367049170065,6.48211648816428,4.93512775376062
175,170,170,"East Lane, North Wembley",7.35640480116447,,4.89947704084365,14020.3436684871,4.64363095573509,13456.2116080148,6.07409462005752,17980.2106709035,6.6181628196552,8.38127781133008,5.86164511605399,4.34426793764166
176,171,171,"The Broadway, Hendon.",29.208742137999,,5.07467563121146,14713.2336931346,4.9807179692152,14344.4693847343,6.08797904307457,17835.2809583665,6.95068424579408,8.18022272360195,5.02645136118226,3.02932582901427
177,172,172,"Gunnersbury, Hounslow",2.66651575914544,,6.00523545093598,17883.2812374552,5.04084893236657,16179.1891757401,7.00387225808036,20255.9366208309,8.99569066964886,8.92284097915437,4.96048426393871,2.05069946812139
178,173,173,"Uxbridge Road, Ealing Common",1.82805832862435,,5.65833841551178,17420.7257816626,5.06230430679983,15930.1904571031,7.53320997529684,22811.4004231593,9.56817941184396,8.33658695364533,3.8214836849462,2.07170024819141
179,174,174,"North Acton, Ealing",7.66286881840376,,3.87485201127335,10702.1041049215,3.80196993387602,12015.802030953,5.44338735876568,17222.6965980079,6.05441424423294,7.30049544829875,6.16965844712891,2.25719312393897
180,175,175,"North Ealing, Ealing",9.26616061974566,,5.9466743374974,17830.5886612101,6.21649890279105,18591.4403204248,6.98243651482412,21158.3313672776,8.56434857075899,7.64542609658552,4.40868869166143,2.91764419985156
181,176,176,"Burnt Ash Lane, Sundridge Park.",6.6057122450176,,4.18246450536057,10747.1490863686,3.29422554034312,8340.45570488284,3.38148362402946,10642.0089344682,5.9479773834897,6.91614281981257,3.21648169434933,4.04417184818416
183,178,178,"Crofton Road, Locksbottom.",9.17705441457971,,9.23499335889266,28413.7166103005,9.33277513718582,28399.2995714276,9.21429508976032,28950.7486202472,8.53751687999832,9.64936376736882,6.9009809113747,6.66723131280965
